Book Title	Author	Edition	Product Type	Copyright Year	Copyright Holder	Print ISBN	Electronic ISBN	Language	Language Collection	eBook Package	English Package Name	German Package Name	Series Print ISSN	Series Electronic ISSN	Series Title	Volume Number	DOI URL	OpenURL	Subject Classification	Publisher	Imprint	epub	pdf
Objektorientierte Programmierung mit JavaScript	Jörg Bewersdorff	2. Aufl. 2018	German textbook	2018	Springer Fachmedien Wiesbaden GmbH	978-3-658-21076-2	978-3-658-21077-9	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-658-21077-9	http://link.springer.com/openurl?genre=book&isbn=978-3-658-21077-9	Computer Science; Programming Languages, Compilers, Interpreters; Web Development; Programming Techniques; Software Engineering; Java	Springer Fachmedien Wiesbaden	Springer Vieweg		https://link.springer.com/content/pdf/10.1007%2F978-3-658-21077-9.pdf
Experimentalphysik 2	Wolfgang Demtröder	7. Aufl. 2017	German textbook	2017	Springer-Verlag GmbH Deutschland	978-3-662-55789-1	978-3-662-55790-7	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-55790-7	http://link.springer.com/openurl?genre=book&isbn=978-3-662-55790-7	Physics; Classical Electrodynamics; Optics, Lasers, Photonics, Optical Devices	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-55790-7.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-55790-7.pdf
Motivation und Handeln	Jutta Heckhausen, Heinz Heckhausen	5. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-53926-2	978-3-662-53927-9	DE	German	40904	Psychology	Psychologie	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-53927-9	http://link.springer.com/openurl?genre=book&isbn=978-3-662-53927-9	Psychology; General Psychology; Biological Psychology	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-53927-9.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-53927-9.pdf
Basiswissen Humangenetik	Christian Schaaf, Johannes Zschocke	3. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56146-1	978-3-662-56147-8	DE	German	11773	Medicine	Medizin	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-56147-8	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56147-8	Medicine & Public Health; Medicine/Public Health, general; Human Genetics	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-56147-8.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56147-8.pdf
Roloff/Matek Maschinenelemente Formelsammlung	Herbert Wittel, Dieter Jannasch, Joachim Voßiek, Christian Spura	14. Aufl. 2018	German textbook	2018	Springer Fachmedien Wiesbaden GmbH, ein Teil von Springer Nature	978-3-658-19899-2	978-3-658-19900-5	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-658-19900-5	http://link.springer.com/openurl?genre=book&isbn=978-3-658-19900-5	Engineering; Machinery and Machine Elements	Springer Fachmedien Wiesbaden	Springer Vieweg		https://link.springer.com/content/pdf/10.1007%2F978-3-658-19900-5.pdf
Stochastik für Einsteiger	Norbert Henze	12. Aufl. 2018	German textbook	2018	Springer Fachmedien Wiesbaden GmbH, ein Teil von Springer Nature	978-3-658-22043-3	978-3-658-22044-0	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-658-22044-0	http://link.springer.com/openurl?genre=book&isbn=978-3-658-22044-0	Mathematics; Probability Theory and Stochastic Processes	Springer Fachmedien Wiesbaden	Springer Spektrum		https://link.springer.com/content/pdf/10.1007%2F978-3-658-22044-0.pdf
Motivation und Emotion	Veronika Brandstätter, Julia Schüler, Rosa Maria Puca, Ljubica Lozo	2. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56684-8	978-3-662-56685-5	DE	German	40904	Psychology	Psychologie	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-56685-5	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56685-5	Psychology; General Psychology; Neurosciences; Biological Psychology	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-56685-5.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56685-5.pdf
Arbeits-, Organisations- und Personalpsychologie für Bachelor	Simone Kauffeld	3. Aufl. 2019	German textbook	2019	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56012-9	978-3-662-56013-6	DE	German	40904	Psychology	Psychologie	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-56013-6	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56013-6	Psychology; Industrial and Organizational Psychology; Human Resource Management; Organization; Industrial Organization	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-56013-6.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56013-6.pdf
Basiswissen Pharmakologie	Roland Seifert	1. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56302-1	978-3-662-56303-8	DE	German	11773	Medicine	Medizin	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-56303-8	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56303-8	Medicine & Public Health; Pharmacotherapy	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-56303-8.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56303-8.pdf
Konkrete Mathematik (nicht nur) für Informatiker	Edmund Weitz	1. Aufl. 2018	German textbook	2018	Springer Fachmedien Wiesbaden GmbH, ein Teil von Springer Nature	978-3-658-21564-4	978-3-658-21565-1	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-658-21565-1	http://link.springer.com/openurl?genre=book&isbn=978-3-658-21565-1	Mathematics; Mathematical Applications in Computer Science; Mathematics of Computing	Springer Fachmedien Wiesbaden	Springer Spektrum		https://link.springer.com/content/pdf/10.1007%2F978-3-658-21565-1.pdf
Tutorium Analysis 1 und Lineare Algebra 1	Florian Modler, Martin Kreh	4. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56751-7	978-3-662-56752-4	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-662-56752-4	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56752-4	Mathematics; Analysis; Linear Algebra	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-56752-4.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56752-4.pdf
Maschinenbau	Werner Skolaut	2. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-55881-2	978-3-662-55882-9	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-662-55882-9	http://link.springer.com/openurl?genre=book&isbn=978-3-662-55882-9	Engineering; Mechanical Engineering; Engineering Design; Industrial and Production Engineering; Machinery and Machine Elements; Electrical Engineering; Materials Engineering	Springer Berlin Heidelberg	Springer Vieweg	https://link.springer.com/download/epub/10.1007%2F978-3-662-55882-9.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-55882-9.pdf
Arbeitsbuch Mathematik	Tilo Arens, Frank Hettlich, Christian Karpfinger, Ulrich Kockelkorn, Klaus Lichtenegger, Hellmuth Stachel	4. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56749-4	978-3-662-56750-0	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-662-56750-0	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56750-0	Mathematics; Calculus; Linear Algebra; Applications of Mathematics; Mathematical and Computational Engineering; Ordinary Differential Equations; Functions of a Complex Variable	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-56750-0.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56750-0.pdf
Arbeits- und Organisationspsychologie	Friedemann W. Nerdinger, Gerhard Blickle, Niclas Schaper	4. Aufl. 2019	German textbook	2019	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56665-7	978-3-662-56666-4	DE	German	40904	Psychology	Psychologie	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-56666-4	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56666-4	Psychology; Industrial and Organizational Psychology; Human Resource Management; Organization; Industrial Organization; Personality and Social Psychology	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-56666-4.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56666-4.pdf
Analysis 1	Otto Forster	12. Aufl. 2016	German textbook	2016	Springer Fachmedien Wiesbaden	978-3-658-11544-9	978-3-658-11545-6	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften	2626-613X	2626-6148	Grundkurs Mathematik		http://doi.org/10.1007/978-3-658-11545-6	http://link.springer.com/openurl?genre=book&isbn=978-3-658-11545-6	Mathematics; Analysis	Springer Fachmedien Wiesbaden	Springer Spektrum		https://link.springer.com/content/pdf/10.1007%2F978-3-658-11545-6.pdf
Biochemie	Werner Müller-Esterl	3. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland	978-3-662-54850-9	978-3-662-54851-6	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-662-54851-6	http://link.springer.com/openurl?genre=book&isbn=978-3-662-54851-6	Life Sciences; Biochemistry, general; Medical Biochemistry; Biomedicine, general	Springer Berlin Heidelberg	Springer Spektrum		https://link.springer.com/content/pdf/10.1007%2F978-3-662-54851-6.pdf
Mathematik	Tilo Arens, Frank Hettlich, Christian Karpfinger, Ulrich Kockelkorn, Klaus Lichtenegger, Hellmuth Stachel	4. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland, ein Teil von Springer Nature	978-3-662-56740-1	978-3-662-56741-8	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-662-56741-8	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56741-8	Mathematics; Calculus; Linear Algebra; Applications of Mathematics; Mathematical and Computational Engineering; Ordinary Differential Equations; Functions of a Complex Variable	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-56741-8.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-56741-8.pdf
